Horror	While driving on tour late night through a lonely road in the countryside of Spain, the van of the punk band "Killer Barbys" has an accident and breaks down. A creepy old man invites the group to spend the night in the castle of Countess Von Fledermaus and presents himself as her secretary Arkan. Arkan explains that the mechanic is located 62 km far from the location and he tells that the Countess loves youths. Flavia, Rafa and Mario accept the invitation but Billy and Sharon stay shagging in the van. When the musicians meet the Countess, they find that she is the ancient artist Olga Luchan and they question how she could keep so young. But sooner they discover that the Countess needs blood of young people to keep her beauty.
Drama	Five young Soviet Army recruits struggle for survival against the merciless violence that surrounds them on a daily basis. Their only means of saving their dignity is by preserving the humanity and compassion they share for each other. Visually astonishing, erotically charged and emotionally jarring, this film is Hussein Erkenov's courageous and stinging indictment of Communisum. Banned by the Soviet censors upon its initial release the film had to be smuggled out of the country to make its world wide premier at the 1995 Berlin Film Festival.
Drama	In a post-Taliban Afghanistan a young woman (Agheleh Rezaie) attends school against her conservative father's will, hoping to learn more about democracy to fulfill her dream of being the country's next president.
Documentary	Confronted with the death of his stepfather, Director Thomas Allen Harris embarks on a journey to understand the man who raised him, Pule Benjamin Leinaeng ("Lee") - an ANC foot-soldier who sacrificed his life for the freedom of his country. As part of the first wave of South African freedom fighters, Lee and his comrades left their homeland in 1960 to broadcast to the world the brutality of apartheid and to raise support for the African National Congress ("ANC") and its leaders, Nelson Mandela and Oliver Tambo. This film is an intimate tale about an African-American family, the anti-apartheid movement and the quest for reconciliation between a father and son.
Drama	Ivan, Julia and Kike were born and grew up in Culebra where they shared a close friendship. Ivan and Julia are a couple but Kike is in love with Julia. They are separated when Ivan is drafted and sent to Vietnam. When Ivan is reported MIA for several years, Julia becomes closer with Kike. Ivan returns, takes Julia to New York and marries her, leaving Kike behind. Much later, Ivan is diagnosed with cancer, and this time it is he who decides to return to Culebra with Julia. With her help, he begins to participate in Culebra's social needs. He even ventures in a small boat and that is when he stumbles on Cayo, a small island closeby. Here he finds peace of mind, and the island has a healing effect on him. When federal authorities try to keep Ivan away from Cayo, they find themselves face to face with a community that will defend Ivan's need to visit the island. Based on a true story of love and friendship that will touch your heart, this wrenching drama was filmed in the beautiful natural scenery of Culebra, Puerto Rico.
Drama	A new registrar, with a revolutionary heart lung machine he has bought from America, joins a small county hospital, and has to win over his colleagues, including the senior house surgeon, and the doctor who had anticipated getting the registrar's appointment. In a series of operations, an older patient, dies on the table, and a young boy has to undergo a urgent hole in the heart operation.
Documentary	Juan Carlos Rulfo, the son of the acclaimed Mexican writer and photographer Juan Rulfo (1917 - 1986), travels to the plains of Jalisco in search of his father. He gathers the scarce memories of the inhabitants, who seem to remember little, if anything, about Juan. This documentary explores the roots of a forgotten Mexico, while the scarce memory remnants shared form a poetic collage of a rural and national exploration of the past.
Documentary	Anna is a somewhat grumpy, frail old lady who requires care that her daughter can no longer provide. Jowita is the Polish elderly care nurse who is meant to look after her. A case study of a topic that will become more and more important in the future.
Horror	On May 19, 2004, an unprecedented biological outbreak occurred in Lawton, California. A classified N.S.A.A. report detailed the carnage which ensued that night. This film is based on that top-secret report.
Drama	Choma is an untouchable bonded laborer in a village who is working along with his family for a landlord, as he belongs to a backward class.[2] Due to his social status, he is not allowed to till his own land, something that he desires.
Comedy	When motorcycle cop Dick Fay gives a ticket to Phyllis Crawford, her father's graft-fed influence leads to his demotion to foot patrolman. When Fay leads a raid on a gangster's place he discovers Phyllis there, helps her escape, then blackmails her father.
Western	The 11th in the series of 14 "Texas Rangers" westerns from P.R.C. that starred Dave O'Brien and Jim Newill, before Newill was replaced by Tex Ritter in the concluding eight films of a very bad 22-films series: Lillian Wilkins and her old Civil War Veteran Uncle Jed Wilkins own a ranch through which a pipeline will be laid. They are unaware of this but Dan Tyndall, Joe Hyslop and Tom Binns are aware of the possibilities for a quick profit and set out to prove through crooked-surveyor Sam Brisco that the land has been improperly surveyed and not rightfully the possession of the Wilkins. They go to family friend and attorney Kendall Lowther for advice and this is not a good move as Lowther is actually the brains behind the scheme to beat them out of their property. But Texas Rangers Tex Wyatt and Jim Steele show up to take a hand on the side of the Wilkins. That also means that Panhandle Perkins, accompanied by Lee Zahler's horrific comedy scoring, will also show up. Wilkerson's comedy and Zahler's music is enough to make one root for the villains. This one has so many villains that Bud Osborne is relegated to playing a good guy role.
Western	In the last of the "Rocky" Lane series, federal marshal "Rocky" Lane (Allan Lane) saddles up "Black Jack" (Black Jack) and heads for the Mexican border to investigate cattle rustling during the Spanish-American War. He gets a job with feed-merchant Nugget Clark (Eddy Waller), and discovers that Nugget's wizened little helper,Josh Bailey (Edward Clark0, has been giving cattle shipment information to the town dentist, Mason "Doc" Ramsey ('Alden 'Stephen' Chase'), who is the secret leader of the rustlers headed by Floyd Garnett (Roy Barcroft). When Ramsey and Garnett steal some of Nugget's cattle feed, Rocky follows them to their hideout through a waterfall into a hidden valley (El Paso is overrun with such scenic delights.) The outlaws have kidnapped Alice Clark (Phyllis Coates) and Rocky captures Ramsey after Garnett is killed in a gun battle. Alice is rescued, the stolen cattle are recovered and Rocky moves on to his next film assignment, which was more than five years later when he turned up as the sheriff in Universal's "The Saga of Hemp Brown." This film had two working titles, "Stagecoach To Cheyenne" and "El Dorado Gold Rush", which lasted until somebody read the script and found no mention of gold rushes, El Dorado, Cheyenne or stagecoaches-to-anywhere. The waterfall in a hidden valley would have fit Cheyenne better than El Paso, but it would have been a heck of a cattle drive to get the herd across the Mexican border.
Drama	After the release from prison, small-time criminal is marrying his girlfriend and lives a straight and poor, but happy life with her and her daughter. However, his happiness is shattered by wife's infidelity. Driven mad by jealousy, he kills her and her lover and runs into mountains, thus escaping law for years. This film is based on the true story about Junuz Keco, last Bosnian outlaw.
Drama	A suburban high school teacher is fired from her job for teaching sex education. But she continues to give private sessions at her home to her former students leading to rumors and complications around town.
Horror	Professor Ayres discovers a secret in an ancient stone and when he opens a crypt, he revives zombies that kill him. He had invited three couples to visit him in his manor to reveal his discovery. However, they never get around to meeting the professor. Out of the blue, the zombies attack them and they seek shelter in the mansion. The creatures put the manor under siege while they protect themselves trying to survive to the horde of zombies.
Drama	Project Marathwada is the story of a Marathwada-based indebted farmer, who comes to Mumbai in hope of being helped by the Government after the suicide of his son. The story takes a turn when he comes across four college students who are making a documentary on the same subject.
Drama	A film director's personal journey experiencing his mother's disappearance into the Alzheimer disease, a film with essential Fridriksson's ingredients, humour, compassion and strong visual style.
Documentary	The incredible true story the Church's effort to respond to the victims of Super Storm Sandy and the efforts that continue to this day. Days after the storm, New Covenant Community Church (now Fusion Church) a small local church located in Somers Point, New Jersey made the decision to do as much as they could to be the hands and feet and heart of Jesus Christ. With a small congregation, a brand new pastor and limited resources, the church became a base camp in the community to connect the community with first responders. Partnering with organizations such as DRADT, Hope Force International, Crisis Response International, Cross Point Church [Nashville], Gateway Church [Fort Worth, Texas] and Joyce Meyer Ministries the church provided immediate relief and resources to local residents. Under the banner Hurricane Sandy Response, New Covenant Community Church ultimately cleaned out over 60 homes, coordinated over 250 volunteers and became known as "the little church that could." All that and much more.
Drama	Ari and Oona. Two 15-year-old girls, two dysfunctional families. Absolute opposites and yet somehow similar. No one listens, no one hears. Ari feels she is misunderstood and compensates for this by having sex with unknown men; Oona expresses the pain over her beloved father's suicide through self-mutilation and morbid drawings. Opposites attract. Ari is a blonde who paints herself up like a canary, Oona loves things as black as night. Their unlikely friendship helps them survive the hypocrisy of their families. Ari finally gains some kind of self-respect, and Oona learns to give vent to her pain. Then something happens that threatens their friendship at its very roots.... The scope of the debuting director's creative interests is evident both in the mix of cinematic devices that enrich the narration (animated passages, amateur film recordings, music videos), as well as in the artistic stylization, which directly references her grounding in comics.
Comedy	Four students who work on different jobs during their vacations in summer are tired of doing the same thing every year. Therefore they decide to open up a moving company together and confront themselves with the former boss of one of them.
Drama	Follows the lives of four longing souls. Ingeborg who feels unattractive and young Jonas who is so attractive that he can literally sell some of what he's got. Anna, a young beautiful woman with a physical disability, and Anders, a tender man with a psychological disability. Four people yearning for love, four people, each hoping for a better tomorrow.
Documentary	Over 65 years ago, when Costa Rica became the largest nation in the world to disband their military, they redirected national resources towards public education and universal health care, fostering a wide middle class and a society committed to inclusion. Since then, Costa Rica has earned the number one spot in the Happy Planet Index, a ranking of countries based on measures of environmental protection and the happiness and health of its citizens. This documentary brings attention to Costa Rica's inspirational national project, examining the true value of happiness, health, and nonviolence as a defense policy. Pointed contrasts are made with recent U.S. debates over austerity, the military industrial complex and the "permanent war" economy.
Comedy	The film is a surreal collage of interrelated threads revolving around history of thirty-year-old Kuba who, with his parents' encouragement, decides to take his first job. Though none too convinced, he starts work as a delivery man. Having set out on his first delivery soon after he witnesses a traffic accident. He ends up giving a statement at the police station. And his plans begin to unravel. By a twist of fate Kuba has no idea about the significance of the part he will have to play on this particular day.
Documentary	From the Australian outback to the San Juan Archipelago, from South India to the Swiss Alps- the question is asked of scientists, artists, and traditional elders: "What is the Great Song for you?" Infused with music from around the world, fifty remarkable responses cross borders of culture, faith, arts and science, weaving a multi-faceted, timeless tapestry- a cinematic testament to our common spirit.
Drama	The film is about two young runaway teenagers who meet in the city after leaving their respective homes in different states. The elder of the two, who was first in the city, "adopts" the younger and as their relationship develops, is both big brother and father to Din.
Drama	A young woman swears revenge on the man who left her father destitute in the Alaska gold fields. She tracks him to the opera houses of New York, where he is a director. She becomes an opera star (!) and uses his infatuation with her to secure financial secrets with which to ruin him. But the man's daughter and a mysterious stranger combine to disrupt her plans.
Documentary	The documentary investigates the phenomenon of Qaddafi's elite female bodyguard corps and the tensions these women embody: tensions between Islam, modernisation in a nomadic society, a militarist feminism and an urban dictatorship.
Comedy	Stian, 31, struggles with love, and has lowered his demands in that Department. Maybe a bit too much? It goes wrong with his awful girlfriend Stine, before he takes a long shot, to find his childhood flame, which he met in Umeå.
Comedy	Jack's hard-partying ways catch up with him when he learns he is failing out of college, but his professor offers him a chance to save his grade by running the local car wash business he owns for a week. But Jack takes on more than he can handle when his friends talk him into turning the business into a bikini car wash!
Documentary	This film is dedicated to you, and me, and all those who leave their roots in search of a place that they hope will better serve their needs, whatever they may be..career, personal or professional growth, family needs or simply a better lifestyle. The film sheds light on the struggles, hopes and fears, joy and sorrows, disappointments, frustrations, loneliness, sacrifices and the whole spectrum of emotions that one goes through in the process of amalgamating and blending with one's new home. While many others may see only the brighter side, this film is an effort to show the untold side.."The Other Side".
Comedy	Tom, gardener at the big house, can talk to plants but not to women. When beautiful Polish au pair Anya arrives for the summer, Tom falls for her catastrophically like the felling of one of the giant trees he cares for in the grounds.
Drama	The citizens of a small town find it difficult to depart from its center, which is to be demolished to build a new, a more functional one. The chairman of the municipality, the first citizen of this small town, supports the plan of female architect-designer, a pretty girl he fell for. But to make locals sure that he didn't approve the old center's demolition under her influence, the president begins to avoid the girl, who then marries another man. By carrying out the ritual wedding, the first citizen of a small town is left with his city all alone.
Comedy	A singer and operetta dancer works in a small french town where the authorities want to expel her because of her scandalous conduct and performance. When a puritan judge closes the show, the woman will take revenge involving the judge in an affair before the selfsame Justice minister. From that moment on, a series of diversions and misunderstandings will play out leading the main characters to the city of Paris.
Drama	As French colonial rule unravels in Tunisia, Paul is having an affair with nightclub singer Betty. An Arab teenager develops a crush on her. It seems he's Paul illegitimate son. As the boy's attraction with his father's mistress goes out of bounds the friction between the Tunisians and the French also intensifies.
Documentary	"LIVING ON YOUR FEET"' explores the personality of Cipriano Mera, and the ideals and feats of an era that turned his life into one great adventure, and made him the privileged protagonist of an intense journey through history in pursuit of utopia. It is the life of a bricklayer who commanded the 4th army corps during the Spanish Civil War and who defeated Mussolini's generals. It is the story of a free man who refused to die on his feet or live on his knees.
Comedy	While reading the newspaper in his jail cell during his stint as a "guest of the county", Wallingford reads a story that his cellmate, Schenectady, has inherited a hotel from an uncle who has recently died. Upon hearing the news, Schenectady falls asleep and dreams of what kind of life he'll lead now that he owns a hotel. It turns out he has a surprise in store.
Drama	Liu returns to his native city Shanghai after 50 years spent in Taiwan. He has come to find the first love of his life, Qiao, who he left behind pregnant. In the meantime, Qiao has married and formed a family. But Liu is determined to get the family's approval to take her away with him.
Documentary	Travelogue featuring an American couple traveling in Europe and a European couple traveling in the U.S, with the emphasis on the cinematography which was viewed on a special curved screen with three projectors.
Comedy	Hari gets infatuated three times and and with the third one his love lorn curse ends by intervention of a marriage consultant who works for a prime fee without any strings attached afterwards.
Comedy	Battle-axe Emma Hornett dominates her hen-pecked husband Henry, his meek sister Edie and daughter Shirley. Shirley is to marry young sailor Albert,raised in an orphanage,and he and best man Carnoustie stay with the Hornetts on the eve of the wedding, though Emma makes sure the stag night is a brief one. Next day Albert fails to show up for the wedding. He eventually turns up at the house and confides in the vicar that if family life is anything like the Hornetts he wants no part of it. When the Hornetts are told this Emma declares that she sees that has been a "very wicked woman" and will mend her ways but, as the young couple eventually marry and move into their own house , one wonders how long her change of heart will last.
Comedy	A bored company owner decides to find out what it is like to be one of his workers. During his "transformation" he falls in love with a cafeteria worker. When his alter ego "The Boss" makes an inappropriate comment to his would-be girlfriend, the worker challenges his "Boss" to a Duel.
Drama	Parentless, the oldest of five takes a job in a mill to support his younger siblings. He works hard but is stingy with the money he earns as he hopes to save it for his brothers and sister. However, his girlfriend is not so accepting of this situation
Drama	Hedi, a young man with great dream, is struggling his way through social conventions in Tunisia. While his mother tries to decide his life for him, Hedi meets Rim and suddenly he discovers that his world goes beyond and above conventions.
Comedy	The Bonotti are an old couple ,from a modest background.They had their daughter Mariella brought up in a luxury secondary school, outside Roma, where she has grown up without knowing her parents are actually rather poor.They learn her hand was asked by a wealthy financier's son.The wedding is arranged for the next month.When she discovers her parents' house,Mariella bursts into tears,for she knows her fiance will break up when he he sees his future in-laws' modest situation.Bonotti makes a big decision: he will transform the apartment,should he ruin himself in the process.
Comedy	Britain's top pop artiste, Tom Pickle, travels to Bombay, India, circa 1960s to learn to play the sitar (musical instrument) from renowned maestro Ustad Zafar Khan. Tom is taken to Zafar's home, where he gets to meet his wife and several daughters, and the maestro himself. Zafar never has had a disciple as Tom, and is clearly disappointed with his lack of respect. Nevertheless, he asks him to travel to Banares with him. Also accompanying them is a young Caucasian woman named Jenny, who Zafar has taken a liking to, much to his wife's displeasure, and who is more respectful of him than Tom. In Banaras, they get to meet Zafar's aging Guru, and his mistress, Ghazala, who is expecting a child soon. Zafar hopes that it will be a son. Zafar's Guru is quite disappointed with him for having Tom and Jenny as his disciples. An over-awed and overwrought Jenny decides to take it easy - and it is then she witnesses the murder of a courtesan. Watch as events unfold in this peaceful town of Banaras that will change the lives and thought-processes of Zafar, Tom, and Jenny, forever.
Horror	After Jonathan Harker attacks Dracula at his castle (apparently somewhere in Germany), the vampire travels to a nearby city, where he preys on the family of Harker's fiancée. The only one who may be able to protect them is Dr. van Helsing, Harker's friend and fellow-student of vampires, who is determined to destroy Dracula, whatever the cost.
Drama	After graduating in Economics, Luis is seeking to burst through in life. His partner Ana sees how his way of being is changing by the standards of his company into a different person. Ana tries to draw his attention in a failed suicide attempt.
Western	A border smuggling gang is using a dag with a fake fur blanket to deliver the loot. When the Sheriff sends Jack Marlin after them and he gets killed, his brother Pete goes after the killers.
Drama	The acerbic, hilarious Claire Bennett becomes fascinated by the suicide of a woman in her chronic pain support group. As she uncovers the details of Nina's suicide and develops a poignant relationship with Nina's husband, she also grapples with her own, very raw personal tragedy.
Drama	A bus and a truck are moving towards each other along a two-way traffic highway on a rainy day. At the very beginning we learn that a reckless driver of another car will cause them to collide while trying to pass the bus; we even learn what seats will spell doom for their occupants. The rest of the movie follows two streams of events on the bus and on the truck, getting us to know and like a wide variety of characters, wondering which ones will end up being casualties and holding breath for our favourites. The epilogue brings some more surprises...
Documentary	The non-commercial Fan Documentary 'A Bond for Life' retraces the past 20 years in the life of a James Bond fan - from being exposed to Bond for the first time in 1996 until the world premiere of 'SPECTRE' in 2015. Partly filmed on original Bond locations across Europe, the film takes viewers on a colorful journey through difficult and challenging times of the narrator. Beside Bond experts and fans from across the globe, Special Guest Stars such as film composer David Arnold, actress Nikki van der Zyl, Lyricist and Academy Award Winner Don Black, Production Designer and Academy Award Winner Sir Ken Adam as well as actors Mads Mikkelsen and Götz Otto share their experiences with James Bond. The aim is to deliver an entertaining Fan-Documentary with an important message: That you can achieve a lot when you believe in yourself and learn to stand on your own two feet. Another reason is the possibility, to reach a significant amount of donations for UNICEF on a European level and thereby help where help is urgently needed. 'A Bond for Life' will celebrate its UNICEF World Premiere in March 2016. Further European charity screenings are planned
Drama	Edyta is forty and in the midst of a crisis. She has left her family, her husband and son and their house on the Baltic Sea behind her. She spends her nights in a Warsaw hotel room and her days driving around the unfamiliar city. When she runs out of cash, she hatches a plan: An ad in the newspaper - sex for money. Edyta never lets things get that far though, as she drugs her clients and then uses their apartments as a refuge for the night. Then she meets an artist, Patryk. A smidgen of luck and Edyta can no longer maintain her dismissive attitude. In this enthralling character study, Tomasz Wasilewski uses film minimalism to ensure that glances and gestures say more than words. He portrays a lonely woman in both fragility and strength, using precise image composition.
Western	Crown City, Colorado, may become a ghost town; the only gold left is in Ute Indian land. Gary Brannon, an honest man who hates Indians, joins a mission to try for mining concessions; but crooked Frank Walker, more realistically, plans to start an Indian war. Gary and his wiser father Sam have their hands full keeping the peace, and Walker has lots more schemes up his sleeve. More plot twists than the average Western.
Drama	Georgette Diva, a young peasant woman, is left by a rich man, Jacques de Villaine, with a fatherless child. She gives her daughter to her parents to care for her and leaves the village. After she has settled in an unhappy worthless life as a singer in cabarets, she brings the four year old child in Paris with her and the child starts to make a better person out of her mother. Jacques de Villaine, however, had taken the habit of seeing the child often back at the village and is sad to see her go. He follows her and takes every opportunity to see her although Georgette coldly rejects him every time. As Jacques rescues the little girl from an accident, he is injured and Georgette agrees to have him be transported in her home so he can get better.
Documentary	An history of Italy through the history of the most censored, scandalous and politically committed movies which clashed with Italian institutional, religious and political power from the 40s to the 90s.
Comedy	When four lifelong friends travel to New Orleans for the annual Essence Festival, sisterhoods are rekindled, wild sides are rediscovered, and there's enough dancing, drinking, brawling, and romancing to make the Big Easy blush.
Documentary	Died Young, Stayed Pretty is a candid look at the underground poster culture in North America. This unique documentary examines the creative spirit that drives these indie graphic artists. They pick through the dregs of America's schizophrenic culture and piece them back together. What you end up with is a caricature of the black and bloated heart that pulses greed through the US economy. The artists push further into the pulp to grab the attention of passersby, plastering art that's both vulgar and intensely visceral onto the gnarled surfaces of the urban landscape. The film gives us intimate look at some of the giants of this modern subculture. Outside of their own circle, they're virtually unknown. But within their ranks they make up an army of bareknuckle brawlers, publicly arguing the aesthetic merits of octopus imagery and hairy 70s porn stars. They've created their own visual language for describing the spotty underbelly of western civilization and they're not shy about throwing it in the face of polite society. Along the way, they manage to create posters that are strikingly obscene, unflinchingly blasphemous and often quite beautiful. Yaghoobian shows these artists for what they are: the vivisectionists of America's morbidly obese consumer culture.
Drama	Powal is a boatman in Nemuguri village that is situated on the bank of the river Dihing. Since there is no bridge at that point of the river, Powal's job is assured. For some three generations his forefathers have been ferrying people to and fro. Life goes on smoothly until Powal begins to hear persistent reports about a bridge to be built across the river.
Drama	Brandon is a 30-something man living in New York who is unable to manage his sex life. After his wayward younger sister moves into his apartment, Brandon's world spirals out of control. Shame examines the nature of need, how we live our lives and the experiences that shape us.
Drama	Mancano pochi minuti alla fine dell'Ottocento e, davanti alla cattedrale di Santiago del Cile, un mendicante sente che sta per lasciare questo mondo. Decide così di raccontare la sua storia. Il pover'uomo è Julius Popper, ingegnere rumeno che nel 1860 aveva inventato un nuovo sistema per estrarre l'oro e si era insediato nella Tierra del Fuego, in Patagonia, in nome della regina Carmen Sylba. Molti i personaggi e gli avvenimenti che gli tornano in mente. Dalla maitresse Armenia, sua amante, all'avventuriero italiano Spiro, dal sergente austriaco Novak alla bellissima india Elisa, al gallese Silveira, nostalgico delle cornamuse. Ma la lotta per il possesso del prezioso metallo lo porterà a scontrarsi con i proprietari terrieri e con gli indios. Popper diventa così il "Re dei Paramos (le lande desolate della Terra del Fuoco)" e si circonda di un esercito fantasma che gli servirà per arrivare allo sterminio degli indios, in nome di un falso progresso.
Horror	A young girl pretending to be the deceased granddaughter of an ailing grandmother begins experiencing horrific visions of the dead granddaughter, causing her to slowly succumb to the insanity of illusion and reality merging.
Drama	Two convicts escape from jail after knocking their wardens out and putting on their uniform .They take refuge in a small house by the sea where a painter and his girlfriend ,Eva ,live.The two men ruthlessly kill the artist ,for fear he may give them away to the police and hide in the place where they try to repair an old car.Their harmony is going to be put through the mill ,for Eva is a gorgeous girl with an angel face .It is enough to set the two fugitives' mind on fire.And she wants to avenge for her lover's death.
Comedy	Josef is the valet for Count von Rommer and well trained in the philandering ways of his master. Mistaken for the Count by a maid, Marie, whom he thinks is an aristocrat, Josef shows her a merry time in the Count's Monte Carlo villa. Meanwhile, the Count escapes a situation with Countess von Rischenheim, when her husband Count von Rischenheim makes an unscheduled appearance, by posing as the butler.
